type,type_title,type_flags,type_pro_training,name,distance,city,country,phone,state,street,zip,country_flag,email,logo_url,more_url,longitude,latitude,web_url,images
DC,,scubadiving snorkeling,0,Sundive Byron Bay,0,Byron Bay,AU,02 6685 7755 ,NSW,8/9-11 Middleton Street,2481,,dive@sundive.com.au,,,153.61486,-28.644535,http://www.sundive.com.au,[]
DC,,mares_lab scubadiving spearfishing snorkeling,0,Kirra Dive On The Tweed,0,Tweed Heads,AU,07 5536 6622 ,NSW,1/133 Wharf Street,2485,,dive@kirradive.com,,,153.540785,-28.177472,http://www.kirradive.com,[]
DC,,mares_lab,0,Sunreef Diving Services,0,Mooloolaba,AU,07 5444 5656 ,QLD,"123 Parkyn Parade, Shop 11/12",4557,,dive@sunreef.com.au,,,153.122125,-26.683845,http://www.sunreef.com.au,[]
DC,,mares_lab scubadiving,0,Wilderness Sea & Ski,0,Liverpool,AU,02 9822 4112 ,NSW,137 George Street,2170,,info@wilderness.net.au,,,150.92493,-33.920839,http://www.wilderness.net.au,[]
DC,,mares_lab scubadiving horizon,0,Windang Dive & Spearfishing,0,Windang,AU,02 4296 4215 ,NSW,324/328 Windang Rd,2528,,info@windangdive.com.au,,,150.868275,-34.532382,http://www.windangdive.com.au,[]
DC,,mares_lab scubadiving xr freediving spearfishing,0,Adreno Brisbane,0,Wooloongabba,AU,07 3895 8119 ,QLD,56 Deshon Street,4102,,brisbane@adreno.com.au,,,153.045117,-27.492098,http://www.spearfishing.com.au,[]
DC,,scubadiving,0,Bremer Bay Diving,0,Bremer Bay,AU,08 9837 4440 ,WA,1 Wellstead Rd,6338,,lebdive@clearmail.com.au,,,119.378522,-34.398689,http://www.bremerbaydive.com.au,[]
DC,,mares_lab scubadiving snorkeling,0,Bundaberg Aqua Scuba,0,Bundaberg,AU,07 4153 5761 ,QLD,239 Bourbong Street,4670,,julian@aquascuba.com.au,,,152.342502,-24.867531,http://www.aquascuba.com.au,[]
DC,,scubadiving,0,CH Smith Marine Tas Pty Ltd,0,South Launceston,AU,03 6344 1166 ,TAS,319 Wellington Street,7249,,info@chsmith.com.au,,,147.14438,-41.453195,https://www.chsmith.com.au/,[]
DC,,mares_lab scubadiving,0,Divers Den,0,Cairns,AU,07 4046 7333 ,QLD,319 Draper Street,4870,,info@diversden.com.au,,,145.7651,-16.923233,http://www.diversworld.com.au,[]
DC,,mares_lab scubadiving freediving,0,Divers World,0,Cairns,AU,07 4041 4004 ,QLD,"90 Aumuller Street, 1",4870,,info@diversworld.com.au,,,145.766438,-16.940095,http://www.diversworld.com.au,[]
DC,,mares_lab scubadiving snorkeling,0,Jetty Dive Coffs Harbour,0,Coffs Harbour,AU,02 6651 1611 ,NSW,398 Harbour Drive,2450,,dive@jettydive.com.au,,,153.137862,-30.30378,http://www.jettydive.com.au,[]
DC,,scubadiving,0,Perth Diving Acadamy - Hillary's,0,Hillarys,AU,08 9448 6343 ,,1 Northside Drive,6025,,hillarys@perthdiving.com.au,,,115.739063,-31.820157,http://www.perthdiving.com.au,[]
DC,,mares_lab scubadiving snorkeling,0,Pro Dive Cairns,0,Cairns,AU,07 4031 6681 ,QLD,CRN Grafton & Shileds Street,4870,,shop@prodivecairns.com.au,,,145.774779,-16.922842,http://www.prodivecairns.com,[]
DC,,scubadiving horizon,0,Pro Dive Central Coast,0,Killarney Vale,AU,02 4389 3483 ,NSW,163 Wyong Road,2261,,info@prodivecentralcoast.com.au,,,151.458138,-33.364306,http://www.prodivecentralcoast.com.au,[]
