ID,Nom,Latitude,Longitude
36,Malaysia,4.5693754,102.2656823
3,Vanuatu,-16.5255069,168.1069154
4,Bahrain,26.1551249,50.5344606
5,Indonesia,-2.4833826,117.8902853
6,Venezuela,8.0018709,-66.1109318
7,Luxembourg,49.8158683,6.1296751
8,Sweden,59.6749712,14.5208584
9,São Tomé and Príncipe,0.9713095,7.02255
10,Montenegro,42.9868853,19.5180992
11,Jordan,31.1667049,36.941628
12,Dominican Republic,19.0974031,-70.3028026
13,Cambodia,12.5433216,104.8144914
14,Singapore,1.357107,103.8194992
15,Papua New Guinea,-5.6816069,144.2489081
16,San Marino,43.9458623,12.458306
17,Sri Lanka,7.5554942,80.7137847
18,Finland,63.2467777,25.9209164
19,Portugal,39.6621648,-8.1353519
20,Colombia,4.099917,-72.9088133
21,Malta,35.8885993,14.4476911
22,Albania,41.000028,19.9999619
23,Grenada,12.1360374,-61.6904045
24,Saudi Arabia,25.6242618,42.3528328
25,Cayman Islands,19.703182249999998,-79.9174627243246
26,Ukraine,49.4871968,31.2718321
27,Cuba,23.0131338,-80.8328748
28,Latvia,56.8406494,24.7537645
29,Algeria,28.0000272,2.9999825
30,France,46.603354,1.8883335
31,Cape Verde,16.0000552,-24.0083947
32,Slovakia,48.7411522,19.4528646
33,Israel,30.8124247,34.8594762
34,Senegal,14.4750607,-14.4529612
35,Kenya,1.4419683,38.4313975
37,Iceland,64.9841821,-18.1059013
38,Madagascar,-18.779148749999997,46.71217161656727
39,Kuwait,29.2733964,47.4979476
40,Bosnia and Herzegovina,44.3053476,17.5961467
41,Philippines,12.7503486,122.7312101
42,United States,39.7837304,-100.445882
43,Cyprus,34.9823018,33.1451285
44,Turkey,38.9597594,34.9249653
45,Zimbabwe,-18.4554963,29.7468414
46,China,35.000074,104.999927
47,Saint Lucia,13.8250489,-60.975036
48,Armenia,40.7696272,44.6736646
49,Belarus,53.4250605,27.6971358
50,Qatar,25.3336984,51.2295295
51,Netherlands,52.2434979,5.6343227
52,Australia,-24.7761086,134.755
53,Dominica,19.0974031,-70.3028026
54,Serbia,44.1534121,20.55144
55,Mauritius,-20.2759451,57.5703566
56,Libya,26.8234472,18.1236723
57,Spain,39.3260685,-4.8379791
58,United Arab Emirates,24.0002488,53.9994829
59,Georgia,41.6809707,44.0287382
60,Belgium,50.6402809,4.6667145
61,Guernsey,49.4566233,-2.5822348
62,Monaco,43.7323492,7.4276832
63,Taiwan,23.9739374,120.9820179
64,Solomon Islands,-8.7053941,159.1070693851845
65,Thailand,14.8971921,100.83273
66,Niue,-19.0536414,-169.861341
67,El Salvador,13.8000382,-88.9140683
68,Italy,42.6384261,12.674297
69,Uruguay,-32.8755548,-56.0201525
70,Oman,21.0000287,57.0036901
71,Fiji,-18.1239696,179.0122737
72,United Kingdom,54.7023545,-3.2765753
73,Palau,5.3783537,132.9102573
74,Germany,51.1638175,10.4478313
75,Canada,61.0666922,-107.991707
76,South Korea,36.638392,127.6961188
77,Barbados,13.1500331,-59.5250305
78,Sint Maarten,18.0423736,-63.0549948
79,Saint Vincent and the Grenadines,12.90447,-61.2765569
80,Marshall Islands,8.230816999999998,167.7953223704529
81,Argentina,-34.9964963,-64.9672817
82,Cook Islands,-19.99697155,-157.78587140620786
83,Slovenia,46.1199444,14.8153333
84,Egypt,26.2540493,29.2675469
85,Bahamas,24.7736546,-78.0000547
86,India,22.3511148,78.6677428
87,Iran,32.6475314,54.5643516
88,Saint Kitts and Nevis,17.250512,-62.6725973
89,Chile,-31.7613365,-71.3187697
90,Estonia,58.7523778,25.3319078
91,Vietnam,15.9266657,107.9650855
92,South Africa,-28.8166236,24.991639
93,Peru,-6.8699697,-75.0458515
94,Isle of Man,54.1936805,-4.5591148
95,Kazakhstan,48.1012954,66.7780818
96,Japan,36.5748441,139.2394179
97,Denmark,55.670249,10.3333283
98,Jamaica,18.1850507,-77.3947693
99,Trinidad and Tobago,10.7466905,-61.0840075
100,Mozambique,-19.302233,34.9144977
101,Seychelles,-4.6574977,55.4540146
102,Switzerland,46.7985624,8.2319736
103,Ecuador,-1.3397668,-79.3666965
104,New Zealand,-41.5000831,172.8344077
105,Hungary,47.1817585,19.5060937
106,Russia,64.6863136,97.7453061
107,Norway,61.1529386,8.7876653
108,Honduras,15.2572432,-86.0755145
109,Romania,45.9852129,24.6859225
110,Brazil,-10.3333333,-53.2
111,Austria,47.59397,14.12456
112,Guatemala,15.5855545,-90.345759
113,Panama,8.559559,-81.1308434
114,Lithuania,55.3500003,23.7499997
115,Bulgaria,42.6073975,25.4856617
116,Croatia,45.3658443,15.6575209
117,Tunisia,33.8439408,9.400138
118,Sudan,14.5844444,29.4917691
119,Aruba,12.5013629,-69.9618475
120,North Macedonia,41.6171214,21.7168387
121,Myanmar,17.1750495,95.9999652
122,Nicaragua,12.6090157,-85.2936911
123,Tonga,-19.9160819,-175.202642
124,Tanzania,-6.5247123,35.7878438
125,Poland,52.215933,19.134422
126,Lebanon,33.8750629,35.843409
127,Turks and Caicos Islands,21.721746,-71.5527809
128,Costa Rica,9.536456900000001,-84.17566257468567
129,Jersey,49.2214561,-2.1358386
130,Antigua and Barbuda,17.2234721,-61.9554608
131,Czechia,49.7439047,15.3381061
132,Ireland,52.865196,-7.9794599
133,British Virgin Islands,18.4024395,-64.5661642
134,Belize,16.8259793,-88.7600927
