ID,type,name,longitude,latitude,destination_id
602,dive_center,MOANA DIVE CENTER,118.78551,9.967216,375
730,dive_center,ABYSS PLONGEE,166.441124,-22.284962,465
733,dive_center,SeaWatch Buvararuhaz,19.153589,47.450128,328
765,dive_center,AQUABALTIC,24.749452,59.424974,350
1053,dive_center,Feelgood Scuba & Activities,-6.069007,53.392632,666
1096,dive_center,MEYASSAR NOORALDIN AL-HADDAD TRADE,39.113032,21.747621,4410
1133,dive_center,Dive Stop,33.882759,27.028875,5310
1194,dive_center,Picco Sport,17.669019,47.674613,757
1324,dive_center,HISPANIA,-1.258402,37.563908,3277
1804,dive_center,High Coast Diving,18.712551,63.293163,1209
469,dive_center,NATIVE DIVING,-13.499333,28.996599,2701
521,dive_center,BLUE BOTTOM DIVING,-16.730576,28.063945,316
713,dive_center,Scuba Store & More,-68.904179,12.128013,6012
895,dive_center,HOTEL LES ILLES,3.20448,42.05498,220
924,dive_center,Similan Scuba,98.241641,8.680661,585
596,dive_center,Fun and Sun,124.034902,10.323132,4789
396,dive_center,East Diving Corporation,121.554126,25.055296,6269
98,dive_center,Adreno Brisbane,153.045117,-27.492098,4053
115,dive_center,CAPTAIN DIVING,126.928578,37.507054,6211
735,dive_center,LAVY SUB,-15.428774,28.123632,273
112,dive_center,AQUA MARINE(DAE-BANG BRANCH),126.928578,37.507054,6211
113,dive_center,AQUA MARINE(KANG-NAM BRANCH),127.061053,37.499491,6168
114,dive_center,BSAC KOREA,127.12854,37.532279,823
116,dive_center,"DAE WOONG SUITS CO., LTD.",127.019233,37.486797,6168
117,dive_center,DIVE LINE,127.056314,37.502815,6168
118,dive_center,GUARDIAN SEALIFE,127.12854,37.532279,823
119,dive_center,JONGRO SPORTS,127.057475,37.570924,6168
120,dive_center,LEISURE-CAMP,126.928578,37.507054,6211
121,dive_center,MERMAIDE & MARINE,127.080277,37.513012,6168
122,dive_center,NUDIBLUE,127.064183,37.48196,823
123,dive_center,PARANSUM,127.019233,37.511284,6168
124,dive_center,Patima,127.061677,37.580001,6168
125,dive_center,PUREUNBADA(YANGJAE BRANCH),127.03735,37.47327,823
126,dive_center,SAMWON SCUBA SCHOOL,127.002453,37.635943,6168
127,dive_center,SANHOSOOJOONG,127.12854,37.532279,823
128,dive_center,SCUBAZONE,127.010508,37.515371,6168
129,dive_center,SDD KOREA,127.080277,37.651313,6168
130,dive_center,S-FREE,127.064183,37.500425,823
131,dive_center,SILVER SEA,126.941344,37.542259,19
132,dive_center,UNDERWATER,127.015877,37.467234,823
107,dive_center,Pro Dive Central Coast,151.458138,-33.364306,1722
148,dive_center,RAINBOW RUNNER S/B,101.766194,3.202992,34
164,dive_center,THALASSA IMMERSION  DC,9.012893,42.039604,49
166,dive_center,PLONGEE EVASION PROPRIANO DC,9.012893,42.039604,49
167,dive_center,L'UGHJATA,9.012893,42.039604,49
169,dive_center,SERENA SPORTS,9.012893,42.039604,49
145,dive_center,Scuba Dynamic,101.649218,3.162134,6239
176,dive_center,PIANOTTOLI DIVING DC,9.012893,42.039604,49
177,dive_center,HIPPOCAMPE,9.012893,42.039604,49
178,dive_center,LE SQUALE PLONGEE,9.012893,42.039604,49
179,dive_center,LEADER BOAT SARL,9.012893,42.039604,49
175,dive_center,BELUGA DIVING DC,9.012893,42.039604,49
210,dive_center,BIG BLUE DIVERS,-81.163725,33.836081,1482
252,dive_center,Diving Center Shark,13.923385,44.827703,121
253,dive_center,Trogir D.C.,16.271562,43.492617,122
258,dive_center,Bojan Jenko s.p.,14.356002,46.240245,6209
259,dive_center,Aquamania,14.541966,46.068003,126
260,dive_center,Reef d.o.o.,13.648104,45.941502,6233
263,dive_center,Mavros Ltd.,33.361379,35.172887,1676
264,dive_center,Ionas Bros.O.E.,23.765582,38.065523,119
251,dive_center,Apnea d.o.o.,18.089009,42.651461,120
272,dive_center,FRANTISEK VERTAT - VEFA,73.450804,4.690487,2136
278,dive_center,IONAS BROS O.E.,23.765582,38.065523,119
299,dive_center,Pearl Divers,51.491933,25.279543,157
300,dive_center,KORGAN CENTER LTD,76.939534,43.26348,6381
271,dive_center,Baracuda Ltd,27.920218,43.213364,136
318,dive_center,Paradise for Marine Activities - TGI Sharm,34.384954,27.979091,588
319,dive_center,RED SEA DIVING COLLEGE,34.384954,27.979091,588
320,dive_center,RED SEA WATERWORLD - Hyatt Regency,34.384954,27.979091,588
322,dive_center,Reef Oasis Dive Club - Reef Oasis Blue Bay Resort & Spa Hotel,34.384954,27.979091,588
325,dive_center,EXTREME DIVERS,23.75882,37.945846,139
330,dive_center,PARALOS DIVING ACADEMY,23.777202,38.054324,119
333,dive_center,PRITSIS GIORGOS,23.77667,37.937029,139
338,dive_center,BLUE PLANET DIVING CENTER,18.061208,42.651164,120
339,dive_center,CROATIA DIVERS,16.71911,42.959237,184
340,dive_center,DIVING CENTER MIHURIC,14.693388,45.179004,185
341,dive_center,Diving Center Scuba Valdaliso,13.624262,45.102629,186
309,dive_center,Agent za Hrvatsku i Sloveniju - Boris Ivančić,14.663961,45.19529,167
345,dive_center,Moby Dick Diving Center,14.752507,44.782408,189
358,dive_center,Nomad Ocean Adventures,56.245783,25.614591,193
360,dive_center,Twin Palms Dive Emporium ***,28.15796,-26.14664,371
365,dive_center,SIDS-Planet Scuba,99.840396,10.09561,199
369,dive_center,Scandinavian Divers Liveaboard,98.297895,7.930972,2116
371,dive_center,Koh Tao Coral Grand Resort,99.840396,10.09561,199
377,dive_center,Warm Water Divers Co. Ltd.,98.297895,7.930972,2116
378,dive_center,Princess Divers Co. Ltd.,99.10135,8.119181,205
343,dive_center,DUBROVNIK DIVING,18.207804,42.62276,187
385,dive_center,"Dive Conserve Part.,Ltd.",101.252379,13.201746,209
393,dive_center,"M.I.M.Systems Co.,Ltd.",100.64218,13.889924,211
395,dive_center,CBM Produkter AB,19.011953,59.704546,5169
399,dive_center,Carp Corp (Palau Diving Center),134.488947,7.337565,217
400,dive_center,DIVERS SUPPLY CAYMAN,-81.381699,19.333867,1946
401,dive_center,Fish N' Fins,134.488947,7.337565,217
402,dive_center,MAKIN' WAVES,-64.782102,32.292604,6030
406,dive_center,DIVEWINNS,6.00368,49.566561,223
408,dive_center,AQUATIS DIVING CENTER,-13.492963,28.998114,2701
383,dive_center,"Scool Divers Co.,Ltd.",99.10135,8.119181,205
432,dive_center,NEMO-33 Dive Shop,4.317986,50.795795,249
440,dive_center,Diving World,-83.516667,22.883333,257
449,dive_center,Manta Divers,-85.354965,10.495797,265
426,dive_center,GLOBEMARINE,4.304392,50.80123,243
458,dive_center,TIMANFAYA SUB,-13.59522,28.95066,2701
459,dive_center,BUCEO CANARIAS,-15.422916,28.115745,273
466,dive_center,"HAZELL'S WATER WORLD, INC",-59.612176,13.097588,279
468,dive_center,DIVE ART,-17.110439,28.091258,281
475,dive_center,Ocean Runner Venture Sdn Bhd,101.713087,3.144167,31
476,dive_center,SCUBA STORE & MORE,-68.904179,12.128013,6012
457,dive_center,BUCEO SUR,-15.397176,27.860463,271
485,dive_center,Marine Monkees,101.741542,3.081357,34
487,dive_center,Pulau Sipadan Resort & Tours Sdn Bhd,118.531842,4.436335,295
492,dive_center,DECOSTOP,128.8889,36.4919,297
493,dive_center,BLUECOOL,128.8889,36.4919,297
494,dive_center,BEST DIVE CENTER,126.99794,37.564091,6168
501,dive_center,Turismu Curu SA,-84.937955,9.865451,302
502,dive_center,Central American Outfitters SA,-85.772652,10.46031,303
484,dive_center,Discover Scuba,101.661524,3.207559,3427
529,dive_center,THE SCUBA SHOP,-63.094622,18.037315,322
531,dive_center,Long Adventure Outdoor Sport,101.436062,3.007069,324
533,dive_center,Scuba Junkie Sdn Bhd,118.531842,4.436335,295
537,dive_center,GALATHEA Buvarbolt,19.056307,47.506675,328
538,dive_center,POLIPSO Buvarbolt,18.173581,46.072025,329
539,dive_center,MOLA MOLA Diving school,18.96304,46.530473,330
543,dive_center,STARFISH DIVING CENTER,13.605258,45.149946,333
546,dive_center,Mihuric d.o.o.,14.693388,45.179004,185
547,dive_center,SUBAQUATIC DIVING CENTER,13.520205,45.433069,183
522,dive_center,BUCEO NAVARRA,-1.631887,42.804947,317
550,dive_center,Divine Diving. Yoga & Dive Center,39.202641,-6.165917,2775
555,dive_center,BUCEO SUR,-15.397207,27.860473,271
556,dive_center,SCUBA 0.76,1.854141,42.350371,340
