ID,type,name,longitude,latitude,destination_id
2714,dive_site,SS Arrow,-58.9948,44.638,
4378,dive_site,"CrackerJack, ribbon reef",146.4241,-16.1503,
5157,dive_site,USS Schurz (Wreck),-76.7289,34.4193,
5244,dive_site,Kraken Wreck,-94.1717,28.2663,
7249,dive_site,Atlas,-76.2421,34.5283,
8438,dive_site,Devil City,130.1017,4.5251,
9196,dive_site,Tanja,-69.4164,17.4189,
9808,dive_site,Durar rigs,49.098,28.942,
9870,dive_site,"Stetson Bank, Flower Gardens",-94.3,28.17,
9871,dive_site,"West Flower Garden Bank, Gulf of Mexico",-93.82,27.88,
9872,dive_site,"East Flower Garden Bank, Gulf of Mexico",-93.6,27.91,
10822,dive_site,Aeolus (Wreck),-76.6645,34.3603,
12162,dive_site,Weber&#039;s Joy,68.3165,12.2064,
12520,dive_site,Abrolhos / Chapeirão Faca Cega,-38.4106,-18.0357,
12771,dive_site,Papoose (Wreck),-76.6738,34.1907,
15436,dive_site,New Venture,-87.6351,29.4575,
16811,dive_site,GBA Reef,39.5636,19.4728,
16893,dive_site,Andrea Doria,-72.4262,39.8126,
17158,dive_site,Silver Tip Bank,97.1848,10.209,
17240,dive_site,Secret Garden ,115.9089,8.7237,
17352,dive_site,Trade Me Reef,174.4889,36.2813,
17507,dive_site,Teluk Dalam,104.1851,2.8735,
17660,dive_site,Baranda Muck Sweet Spot,130.7338,-0.8836,
17767,dive_site,Bohar Sorayer,36.2305,24.4203,
18036,dive_site,Tukau Drop-off,113.0,4.4,
