ID,type,name,longitude,latitude,destination_id
719,dive_site,Alsoflani Reef  شعب السفلاني,36.9351,24.9844,6417
764,dive_site,"Trindade Is., Príncipe ",-29.316,-20.523,1790
779,dive_site,هير شتيه Heer Shrayah,50.7174,26.4105,1796
781,dive_site,Koh Waen,99.2469,7.3786,1886
782,dive_site,Lost Lake Cave,105.629,-10.4549,6282
783,dive_site,Eidsvold  Wreck,105.6529,-10.4425,1800
784,dive_site,Alcatrazes - Raia,-45.6884,-24.0937,2766
789,dive_site,White bay,-64.7608,18.4411,1506
791,dive_site,Talaga Point,177.2162,-17.1684,1842
793,dive_site,Cuban Freighter Reef,-80.1198,25.6927,2358
795,dive_site,Hurolhi Beyru,72.7149,3.5438,3981
796,dive_site,Bridge Span 6,-85.8879,30.1487,3517
798,dive_site,Jupiter Wreck Trek,-80.0004,26.9445,1823
800,dive_site,Grey Ghost (Wreck),-85.8803,29.9964,3517
801,dive_site,Bridge Span 10,-85.7427,30.0969,4969
802,dive_site,"La Bomba, Lago Piedra Moras",-64.2744,-32.1822,1741
804,dive_site,Iruveli Lagoon,72.959,2.9315,1808
805,dive_site,CNC HOUSE POINT ,123.987,10.2631,1905
806,dive_site,Holiday Beyru,72.8218,3.4664,3981
807,dive_site,Toi Beach,138.7836,34.9048,2716
808,dive_site,Mid Reef,-79.9914,26.7888,1763
811,dive_site,Car Pile - Vaersenbaai,-69.0044,12.1558,286
6588,dive_site,보물섬,128.7972,37.942,3101
755,dive_site,Angaga Thila,72.8183,3.6367,668
817,dive_site,SS Christina,-5.2341,50.4184,4999
818,dive_site,U1021,-5.1188,50.5363,692
819,dive_site,Vavathi Kurolhi / Christmas Tree,73.2528,5.814,1819
821,dive_site,"Barracuda Point, Carriacou",-61.5084,12.4766,1613
822,dive_site,"Barrel, Carriacou",-61.4921,12.4539,1817
823,dive_site,"Black Rocks, Carriacou",-61.4884,12.3938,1817
824,dive_site,"Tugboat Boris, wreck",-61.4908,12.4885,1613
825,dive_site,"Deep Blue, Carriacou",-61.51,12.4772,1613
826,dive_site,"Garden, Carriacou",-61.5015,12.4363,1817
827,dive_site,"Jack-A-Dan West, Carriacou",-61.467,12.4943,2627
828,dive_site,"Point Cistern, Carriacou",-61.4967,12.4797,1613
830,dive_site,Saline Express,-61.4679,12.4339,1817
831,dive_site,"Shark Hotel, Carriacou",-61.4873,12.4004,1817
832,dive_site,"Triggerfish Alley, Carriacou",-61.4522,12.5069,1816
833,dive_site,"Layer Cake, Carriacou",-61.478,12.4212,1817
834,dive_site,"Gun Point, Carriacou",-61.4582,12.5091,1816
835,dive_site,"Jack Iron Point, Carriacou",-61.5011,12.4752,1613
836,dive_site,"Valan’s Wall, Carriacou",-61.4744,12.489,2627
837,dive_site,"Shark Canyon, Carriacou",-61.4732,12.4121,1817
838,dive_site,"The Rose Wreck, Carriacou",-61.5025,12.4695,1613
839,dive_site,"Tropical Hill, Carriacou",-61.4996,12.4391,1817
840,dive_site,Sharkies Hideaway Part 1,-61.4904,12.4883,1613
841,dive_site,"Coral Nursery, Carriacou",-61.5683,12.4951,1613
842,dive_site,Wash Rock,-156.9292,20.7333,4046
846,dive_site,Maakurandhoo,73.309,5.6998,1819
849,dive_site,Playing Field,-81.105,19.2928,3926
850,dive_site,Hanois Lighthouse ,-2.6846,49.4324,1822
858,dive_site,Koodoo Corner,73.0535,0.6031,2451
859,dive_site,Than&#039;buru Canyon,73.2288,5.7181,1819
860,dive_site,Velidhoo Caves,73.2702,5.6618,1819
861,dive_site,Saeedh Ge&#039;Hadhiyaa,73.3027,5.6508,1819
862,dive_site,Raafushi Corner,73.2924,5.6455,1819
863,dive_site,Orimas Thila / Shark Point,73.2526,5.8471,1819
864,dive_site,Minaavaru Kurolhi,73.3186,5.7821,1819
865,dive_site,Thanburu Faru,73.2345,5.7121,1819
866,dive_site,Santa Eulália ,-8.2105,37.0676,1826
867,dive_site,Santa Eulalia 2,-8.2154,37.0582,1826
868,dive_site,Rainbow Warrior ,173.935,-34.9748,23
869,dive_site,Jardin de Fajou,-61.5706,16.3552,1780
816,dive_site,SS Orfordness,-5.1818,50.4263,4999
878,dive_site,Chapeirão Mau Mau,-38.6953,-17.9692,1835
879,dive_site,Knob Hill,-156.9037,20.7026,4046
