id,name,latitude,longitude,geo_groups,meta_description,description
36,Malaysia,4.5693754,102.2656823,"Asia, Indian Ocean","Dive in Malaysia, a top destination for scuba diving enthusiasts. Explore world-renowned dive sites in the South Pacific.","Dive in Malaysia, a top destination for scuba diving enthusiasts. Explore world-renowned dive sites in the South Pacific, boasting vibrant coral reefs, turtles, and diverse marine life. A must-visit for every diver!"
3,Vanuatu,-16.5255069,168.1069154,Oceania,"Discover Vanuatu, a scuba diving paradise in Oceania. Experience the thrill of diving in crystal-clear waters.","Discover Vanuatu, a scuba diving paradise in Oceania. Experience the thrill of diving in crystal-clear waters, encountering unique underwater volcanoes, shipwrecks, and vibrant marine ecosystems. Ideal for adventure divers."
4,Bahrain,26.1551249,50.5344606,"Africa, Asia, Indian Ocean","Scuba dive in Bahrain, where the Arabian Gulf meets the Indian Ocean. A hidden gem for divers.","Scuba dive in Bahrain, where the Arabian Gulf meets the Indian Ocean. A hidden gem for divers seeking rich cultural underwater sites, artificial reefs, and the chance to see unique marine species like the dugong."
5,Indonesia,-2.4833826,117.8902853,"Asia, Indian Ocean",Indonesia offers an unparalleled scuba diving experience in Asia. Dive in to encounter the world's most biodiverse marine habitats.,"Indonesia offers an unparalleled scuba diving experience in Asia. Dive in to encounter the world's most biodiverse marine habitats, from Raja Ampat to Bali, featuring sharks, manta rays, and vibrant coral gardens."
6,Venezuela,8.0018709,-66.1109318,South America,Explore Venezuela's underwater wonders in the Caribbean Sea. A must-visit scuba diving destination.,"Explore Venezuela's underwater wonders in the Caribbean Sea. A must-visit scuba diving destination known for its vibrant coral reefs, diverse marine life, including sea turtles and dolphins, and pristine beaches."
7,Luxembourg,49.8158683,6.1296751,Europe,"Dive in Luxembourg, a hidden scuba diving gem. Explore clear lakes, submerged forests, and historic sites. Discover why it's a top destination for diving.","Luxembourg, often overlooked as a scuba diving destination, is a hidden gem for divers. Its crystal-clear lakes offer peaceful dives amidst submerged forests, creating a captivating underwater landscape. Divers can explore historic sites beneath the surface, making each dive a journey through history. Discover why Luxembourg is gaining recognition as a top destination for diving enthusiasts."
8,Sweden,59.6749712,14.5208584,Europe,"Scuba diving in Sweden, where the Baltic Sea hides shipwrecks and diverse marine life. Dive into adventure and explore the treasures beneath the waves.","Sweden's scuba diving scene is a treasure trove waiting to be explored. Along its Baltic Sea coast, you'll find sunken shipwrecks that tell stories of the past. Dive alongside a diverse range of marine life, from colorful anemones to elusive sea creatures. Sweden's underwater landscapes offer thrilling adventures for divers of all levels, making it a must-visit destination for underwater enthusiasts."
9,São Tomé and Príncipe,0.9713095,7.02255,"Africa, Atlantic Ocean","Sao Tomé and Principe, an untouched scuba diving paradise. Dive into vibrant coral reefs, encounter rare marine species, and explore unspoiled beauty.","Sao Tomé and Principe, tucked away in Africa, is an untouched scuba diving paradise. Immerse yourself in vibrant coral reefs teeming with rare marine species found nowhere else. The unspoiled waters of this tropical haven offer a captivating diving experience. Dive into Sao Tomé and Principe's underwater world and be prepared to be enchanted by its natural beauty."
10,Montenegro,42.9868853,19.5180992,"Europe, Mediterranean Sea","Montenegro's Adriatic coast beckons scuba divers with dramatic cliffs, underwater caves, and hidden treasures. Dive into the Adriatic's wonders.","Montenegro's Adriatic coast is a haven for scuba divers, boasting dramatic underwater landscapes. Dive into intricate underwater caves, navigate through tunnels, and marvel at the breathtaking cliffs beneath the surface. Montenegro's rich marine life and hidden treasures make every dive an unforgettable adventure, promising to leave divers in awe of its underwater wonders."
11,Jordan,31.1667049,36.941628,"Europe, Africa, Mediterranean Sea","Scuba dive in Jordan's Red Sea, home to vibrant coral gardens, historic shipwrecks, and the famous Blue Hole. Discover underwater wonders like never before.","Jordan's Red Sea coastline is a paradise for scuba divers, featuring vibrant coral gardens, historic shipwrecks, and the renowned Blue Hole. Explore the mesmerizing underwater world, encounter schools of colorful fish, and witness the beauty of pristine coral formations. Jordan offers divers an opportunity to explore the mysteries of the deep, making it a top destination for scuba enthusiasts."
