name,country,region,latitude,longitude,timezone,saved,id
name,country,region,latitude,longitude,timezone,saved,id
name,country,region,latitude,longitude,timezone,saved,id
name,country,region,latitude,longitude,timezone,saved,id
name,country,region,latitude,longitude,timezone,saved,id
name,country,region,latitude,longitude,timezone,saved,id
Joondalup,Australia,Western Australia,-31.77955,115.76474475668536,Australia/Perth,true,1
Lower Hutt,New Zealand,Wellington,-41.2125751,174.9057626,Pacific/Auckland,true,2
Ampang Jaya Municipal Council,Malaysia,Selangor,3.1276087,101.7538639,Asia/Kuala_Lumpur,true,3
,France,Corsica,42.188089649999995,9.068413771427695,Europe/Paris,false
Bremer Bay,Australia,Western Australia,-34.3933927,119.3766032,Australia/Perth,true,4
Bundaberg,Australia,Queensland,-24.8653253,152.3516785,Australia/Brisbane,true,5
Launceston,Australia,Tasmania,-41.4340813,147.1373496,Australia/Hobart,true,6
Porto-Vecchio,France,Corsica,41.5911382,9.2794469,Europe/Paris,true,7
Busselton,Australia,Western Australia,-33.644499,115.3488754,Australia/Perth,true,8
Palavas-les-Flots,France,Occitania,43.5278137,3.9315347,Europe/Paris,true,9
Dunedin,New Zealand,Otago,-45.8740984,170.5035755,Pacific/Auckland,true,10
Kuala Lumpur,Malaysia,50730,3.1516964,101.6942371,Asia/Kuala_Lumpur,true,11
West Okoboji,United States,Iowa,43.353279,-95.1624775,America/Chicago,true,12
Santa-Maria-Poggio,France,Corsica,42.3461105,9.4971696,Europe/Paris,true,13
Maungakiekie-Tāmaki,New Zealand,Auckland,-36.9022624,174.845037518297,Pacific/Auckland,true,14
Wollongong City Council,Australia,New South Wales,-34.4243941,150.89385,Australia/Sydney,true,15
Le Rove,France,Provence-Alpes-Côte d'Azur,43.3690901,5.2496375,Europe/Paris,true,16
Mauguio,France,Occitania,43.6154825,4.0098366,Europe/Paris,true,17
Nelson,New Zealand,Nelson,-41.2710849,173.2836756,Pacific/Auckland,true,18
Sydney,Australia,New South Wales,-33.8698439,151.2082848,Australia/Sydney,true,19
Sanur,Indonesia,Bali,-8.6831728,115.2564626,Asia/Makassar,true,20
