ID,city,region,country,country_code,latitude,longitude
1,Marseille,Bouches Du Rhones,France,FR,,
2,Byron Bay,New South Wales,Australia,au,-28.6483333,153.6177778
3,Tweed Heads,New South Wales,Australia,au,-28.181708,153.5469621
4,Sunshine Coast Regional,Queensland,Australia,au,-26.6544338,153.0933668
5,Sydney,New South Wales,Australia,au,-33.8698439,151.2082848
6,Wollongong City Council,New South Wales,Australia,au,-34.4243941,150.89385
7,,Queensland,Australia,au,-22.1646782,144.5844903
8,Bremer Bay,Western Australia,Australia,au,-34.3933927,119.3766032
9,Bundaberg,Queensland,Australia,au,-24.8653253,152.3516785
10,Launceston,Tasmania,Australia,au,-41.4340813,147.1373496
11,Cairns,Queensland,Australia,au,-16.9206657,145.7721854
12,Coffs Harbour,New South Wales,Australia,au,-30.2962407,153.1135293
13,Joondalup,Western Australia,Australia,au,-31.77955,115.76474475668536
14,,New South Wales,Australia,au,-31.8759835,147.2869493
15,Busselton,Western Australia,Australia,au,-33.644499,115.3488754
16,Hobart,Tasmania,Australia,au,-42.8825088,147.3281233
17,Adelaide,South Australia,Australia,au,-34.9281805,138.5999312
18,Ipoh,Perak,Malaysia,my,4.5986817,101.0900236
19,Seoul,,South Korea,kr,37.5666791,126.9782914
20,Christchurch,Canterbury,New Zealand,nz,-43.530955,172.6364343
21,Hibiscus Coast,Auckland,New Zealand,nz,-36.6095336,174.7086237
22,Whangarei,Northland,New Zealand,nz,-35.7275268,174.3194202
23,Bay of Islands-Whangaroa Community,Northland,New Zealand,nz,-35.2749422,174.05953717022533
24,Auckland,Auckland,New Zealand,nz,-36.852095,174.7631803
25,Whitianga,Waikato,New Zealand,nz,-36.8331861,175.7024856
26,Lower Hutt,Wellington,New Zealand,nz,-41.2125751,174.9057626
27,Nelson,Nelson,New Zealand,nz,-41.2710849,173.2836756
28,Dunedin,Otago,New Zealand,nz,-45.8740984,170.5035755
29,Maungakiekie-Tāmaki,Auckland,New Zealand,nz,-36.9022624,174.845037518297
30,Butterworth,Penang,Malaysia,my,5.3933618,100.366572
31,Kuala Lumpur,,Malaysia,my,3.1516964,101.6942371
32,Petaling Jaya,Selangor,Malaysia,my,3.0991752,101.6450232
33,Kowloon,Hong Kong,China,cn,22.3116452,114.1767885
34,Ampang Jaya Municipal Council,Selangor,Malaysia,my,3.1276087,101.7538639
35,Amlapura,Bali,Indonesia,id,-8.4464252,115.6135572
36,Tanjung Benoa,Bali,Indonesia,id,-8.76573985,115.22325623337838
37,Sanur,Bali,Indonesia,id,-8.6831728,115.2564626
38,Jimbaran,Bali,Indonesia,id,-8.7724902,115.1723944
39,Tua,Bali,Indonesia,id,-8.4164215,115.1821229
40,Manado,North Sulawesi,Indonesia,id,1.4900578,124.8408708
41,Sanur Kaja,Bali,Indonesia,id,-8.6731387,115.2552042
42,Senggigi,West Nusa Tenggara,Indonesia,id,-8.4982478,116.0521267
43,Tanjung Aru,Sabah,Malaysia,my,5.9533677,116.0557423
44,Yangpu District,Shanghai,China,cn,31.2617238,121.5211877
45,Feldkirchen,Bavaria,Germany,de,48.1475774,11.7299205
46,Cargèse,Corsica,France,fr,42.13436,8.59422
47,Santa-Maria-Poggio,Corsica,France,fr,42.3461105,9.4971696
48,Biguglia,Corsica,France,fr,42.6269896,9.4208224
49,,Corsica,France,fr,42.188089649999995,9.068413771427695
50,Algajola,Corsica,France,fr,42.6074484,8.861965
51,Porto-Vecchio,Corsica,France,fr,41.5911382,9.2794469
52,Ajaccio,Corsica,France,fr,41.9263991,8.7376029
53,Macinaggio,Corsica,France,fr,42.9582439,9.4526733
54,Palavas-les-Flots,Occitania,France,fr,43.5278137,3.9315347
55,Marseille,Provence-Alpes-Côte d'Azur,France,fr,43.2961743,5.3699525
56,Lyon,Auvergne-Rhône-Alpes,France,fr,45.7578137,4.8320114
57,Nimes,Occitania,France,fr,43.8374249,4.3600687
58,Vallauris,Provence-Alpes-Côte d'Azur,France,fr,43.5761001,7.05859
59,Mauguio,Occitania,France,fr,43.6154825,4.0098366
60,Nice,Provence-Alpes-Côte d'Azur,France,fr,43.7009358,7.2683912
61,Ollioules,Provence-Alpes-Côte d'Azur,France,fr,43.1397205,5.8483538
62,Cavalaire-sur-Mer,Provence-Alpes-Côte d'Azur,France,fr,43.1722952,6.531917
63,Saint-Tropez,Provence-Alpes-Côte d'Azur,France,fr,43.2727191,6.6405225
64,Le Lavandou,Provence-Alpes-Côte d'Azur,France,fr,43.1383795,6.3701286
65,Sausset-les-Pins,Provence-Alpes-Côte d'Azur,France,fr,43.332048,5.1094441
66,Le Rove,Provence-Alpes-Côte d'Azur,France,fr,43.3690901,5.2496375
67,Saint-Mandrier-sur-Mer,Provence-Alpes-Côte d'Azur,France,fr,43.0761,5.92658
68,Versailles,Ile-de-France,France,fr,48.8035403,2.1266886
69,Saint-Quentin,Hauts-de-France,France,fr,49.8465253,3.2876843
70,La Chaussée-Saint-Victor,Centre-Val de Loire,France,fr,47.6095154,1.3587541
71,Angers,Pays de la Loire,France,fr,47.4739884,-0.5515588
72,Saint-Benoît,Nouvelle-Aquitaine,France,fr,46.5507911,0.3403768
73,La Rochelle,Nouvelle-Aquitaine,France,fr,46.1591126,-1.1520434
74,Perros-Guirec,Brittany,France,fr,48.8151133,-3.4394662
75,Mérignac,Nouvelle-Aquitaine,France,fr,44.842168,-0.6469022
76,Belz,Brittany,France,fr,47.6759681,-3.1687227
77,Joué-lès-Tours,Centre-Val de Loire,France,fr,47.3511161,0.6622353
78,Deshaies,Guadeloupe,France,fr,16.3061627,-61.7938974
79,Terre-de-Haut,Guadeloupe,France,fr,15.8680707,-61.5821543
80,Saintes,Nouvelle-Aquitaine,France,fr,45.7460663,-0.6300671
81,Toliara,Atsimo-Andrefana,Madagascar,mg,-23.354173,43.66966
82,,South Carolina,United States,us,33.6874388,-80.4363743
83,Tamarin,Black River,Mauritius,mu,-20.3292161,57.3776792
84,Port Louis,Port Louis,Mauritius,mu,-20.1624522,57.5028044
85,Huahine,French Polynesia,France,fr,-16.72858845,-151.01346965159058
86,L'Étang-Salé,Réunion,France,fr,-21.2657819,55.3668941
87,Saint-Gilles-les-Bains,Réunion,France,fr,-21.0548416,55.2248423
88,Saint-Pierre,Réunion,France,fr,-21.341298,55.4776174
89,Levanto,Liguria,Italy,it,44.1699056,9.6120397
90,Rapallo,Liguria,Italy,it,44.3511473,9.229671
91,San Vito Lo Capo,Sicily,Italy,it,38.172347,12.734932
92,Lampedusa,Sicily,Italy,it,35.511134150000004,12.59629135962961
93,San Nicola,Apulia,Italy,it,42.120845,15.5043104
94,Imperia,Liguria,Italy,it,43.95837525,7.866742714674276
95,Cavo,Tuscany,Italy,it,42.8618513,10.419662
96,Capoliveri,Tuscany,Italy,it,42.7434524,10.3787797
97,Portoferraio,Tuscany,Italy,it,42.8136276,10.319152
98,Santu Antiogu/Sant'Antioco,Sardinia,Italy,it,39.0648291,8.4562962
99,Nardò,Apulia,Italy,it,40.1762608,18.0306371
100,Pazzano,Calabria,Italy,it,38.4757633,16.4525008
101,Lipari,Sicily,Italy,it,38.4681846,14.9547202
