ID,name,longitude,latitude,address,region,country,destination_id
6,Tropitel Oasis Dahab Hausriff,34.5193,28.5517,"Blue Hole Rd, Qesm Saint Katrin, South Sinai Governorate, Egypt",South Sinai Governorate,Egypt,694
11,Crow Island,81.1999,8.7157,"Pigeon Island Nature Trail, Sri Lanka",,Sri Lanka,1605
12,Dijamba Gala,81.2209,8.7158,,,,1606
14,Madagala,81.2114,8.6866,,,,1607
15,House Reef,81.2196,8.706,,,,1607
16,Welluore Rock,81.2274,8.678,,,,1607
17,Sithane Pare,81.2413,8.6965,,,,1606
19,Kalawa Pare,81.2483,8.6752,,,,1606
20,Butterfly Rock,81.2491,8.6232,,,,1608
21,Klathe Par,81.2666,8.595,,,,1606
22,North Reef,81.2387,8.5807,"Konesar Rd, Trincomalee, Sri Lanka",Eastern Province,Sri Lanka,1606
23,South Reef,81.242,8.5728,"Unnamed Road, Trincomalee, Sri Lanka",,Sri Lanka,1606
24,Navy Island,81.2414,8.5662,"226 Dyke St, Trincomalee, Sri Lanka",Eastern Province,Sri Lanka,1606
25,Passagala,80.002,6.2208,,,,1609
26,Ivory Bell,79.9818,6.2101,,,,1609
27,Walangala,80.0396,6.1929,,,,1610
28,Bandal Bro,80.0519,6.1841,,,,1610
42,La cathédrale  Sainte Maxime ,6.6853,43.2828,France,,France,63
43,Piscina Rovereto,11.0344,45.8844,"Via Domenico Udine, 18, 38068 Rovereto TN, Italy",Trentino-Alto Adige,Italy,1614
45,Dos Hermanas,-79.6685,9.5955,,,,1616
46,Pointe de la Grande Vigie,-61.4657,16.5126,"Unnamed Road, Guadeloupe",Grande-Terre,Guadeloupe,1617
50,"Beetle Reef, Beqa Lagoon, Fiji",178.1016,-18.3789,Fiji,,Fiji,1619
52,Debagala,80.0396,6.1737,,,,1610
53,Devol Temple,80.0518,6.1686,,,,1620
55,Kabaragala,80.0254,6.2005,,,,1621
56,Lobster Point,80.0852,6.1017,,,,1622
61,Ralagala Wreck,80.2243,6.0078,,,,1623
62,Galle Ship Wreck,80.199,6.0287,,,,1624
63,Jungle Beach,80.2382,6.02,"Jungle Beach Rd, Unawatuna, Sri Lanka",,Sri Lanka,1624
64,Gala Piita Gala,80.2472,5.991,,,,1623
65,Goda Gala (Lord Nelson),80.2613,5.9884,,,,1625
66,Goda Kupatha,80.2748,5.9842,,,,1625
68,Goda Gala Diyamba,80.2899,5.9843,,,,1625
69,Reaf Wreck,80.2992,5.9842,,,,1626
71,Nave Kupatha,80.3194,5.9745,,,,1627
72,Aluth Gala,80.254,5.9866,,,,1625
73,Rangoon Wreck,80.2016,6.0027,,,,1624
74,Aluth Gal Mattha,80.2532,5.9754,,,,1625
75,Talpe Reef,80.3078,5.9837,,,,1626
76,No Name Wreck,80.2043,6.0182,,,,1624
77,"Mamutik Island, Pyramid Reef",116.0121,5.9675,"Manutik Island, Malaysia",,Malaysia,1628
78,Dragon,33.6591,34.8986,,,,305
80,Taiyong,34.9731,29.4292,"S Beach Hwy, Jordan",Aqaba Governorate,Jordan,1630
81,Talisay Pier,123.7775,9.8686,"Unnamed Road, Loon, Bohol, Philippines",Central Visayas,Philippines,1631
83,Shark Friends,-77.0429,21.5633,"Unnamed Road, Playa Santa Lucia, Cuba",Camagüey,Cuba,1632
84,Cenote Chan Hol,-87.5726,20.1602,"México 307, Quintana Roo, Mexico",Quintana Roo,Mexico,1633
86,"Pool, Fort Sam Houston, Texas",-98.4581,29.4535,"2739 Dickman Rd, San Antonio, TX 78234, USA",Texas,United States,1634
88,Los Corales,-78.6422,22.6263,,Ciego de Ávila,Cuba,1636
90,Cenote Jailhouse,-87.49,20.1885,"5 Av Sur, La Veleta, Tulum, Q.R., Mexico",Quintana Roo,Mexico,1633
94,Alsaraj Beach شاطئ السرج,38.937,22.8164,"4693, Rabigh 25735 6113, Saudi Arabia",Makkah Province,Saudi Arabia,1640
95,"Pea Stacks, Guernsey",-2.5394,49.4193,"Route de Jerbourg, Guernsey GY4, Guernsey",Saint-Martin,Guernsey,1641
96,Cala do Rey,-8.8024,42.2504,"Rúa das Barreiras, 32, 36949 Cangas, Pontevedra, Espanha",,Espanha,1642
97,L’Hirondelle,6.8601,46.4466,Chemin de la Becque 54,Vaud,Suisse,1643
98,Nemo City ,34.2883,26.108,"Port Said, Qesm Al Qoseir, Red Sea Governorate, Ägypten",,Ägypten,1644
101,Hallenbad Aqurina Rheinau ,8.5999,47.638,"Ellikonerstrasse 2, 8462 Rheinau, Schweiz","null, null",Schweiz,1647
102,Hallenbad Rafz ,8.5388,47.6059,"Tannewäg 12,
 8197 Rafz, Schweiz",,Schweiz,1648
103,Perrito,-78.5945,22.5988,"Unnamed Road, Cuba",,Cuba,1636
104,Globetrotter Köln,6.9481,50.9381,"Breite Str. 137-139, 50667 Köln, Germany",Nordrhein-Westfalen,Germany,1001
105,Orsa Maggiore,9.3725,45.8771,"Lungolario Piave, 40, 23900 Lecco LC, Italy",Lombardia,Italy,865
106,Lost Canyons,153.1535,-26.6594,,,,4
108,Moregallo,9.3417,45.8811,"Via Moregallo, 4-14, 23826 Mandello del Lario LC, Italy",Lombardia,Italy,1650
109,"Potato Reef, Thulusdhoo",73.6623,4.4,,,Maldives,1651
110,Gasfinolhu House Reef,73.6199,4.365,,Kaafu,Maldives,1651
114,Fallen Tree,123.7657,9.8933,"Loon, Bohol, Philippines",Central Visayas,Philippines,1653
115,Japanese Patrol Boat,120.2762,14.7759,,,,1654
116,Pavlo Napa Pool,33.9792,34.9879,"Nissi Ave 65, Ayia Napa 5330, Cyprus",Ammochostos,Cyprus,1655
117,Willy’s Wonder,-86.6026,16.2697,"Unnamed Road, West Bay, Honduras",Bay Islands Department,Honduras,196
120,Baha reef,123.4983,9.1517,"Siquijor Circumferential Road, San Juan, Siquijor, Philippines",Central Visayas,Philippines,1657
121,St. George Beach,32.3937,34.8039,"Agiou Georgiou, Chloraka, Cyprus",,Cyprus,1658
124,Naaz Islands جزایر ناز,56.1112,26.81,"Hormozgan Province, Unnamed Road, Iran",Hormozgan Province,Iran,1660
125,Tiny Wall Coral Reef,55.9127,26.661,"Hormozgan Province, Unnamed Road, Iran",Hormozgan Province,Iran,1661
126,Silver Beach ساحل نقره ای,55.875,26.676,"Hengam Island, Hormozgan، Iran",Hormozgan Province,Iran,1661
127,Ghil Corals مرجانهای قیل,55.8546,26.6453,"Hormozgan Province, Unnamed Road, Iran",Hormozgan Province,Iran,1661
128,Khargoo Island South جنوب جزیره خارگو,50.3337,29.294,,,,1662
129,Khargoo Island West غرب جزیره خارگو,50.3336,29.3227,,,,1662
130,Khargoo Island East شرق جزیره خارگو,50.3528,29.3176,,,,1662
132,Freibad Grafing,11.9685,48.0512,"Am Stadion 11, 85567 Grafing bei München, Deutschland","null, null",Deutschland,1664
133,La Faille d Arue,-149.5246,-17.5151,"Unnamed Road, Arue, French Polynesia",Îles du Vent,French Polynesia,1665
135,Silbersee West,13.9034,46.6094,"Silberseestraße, 9524 Villach, Austria",Kärnten,Austria,1101
136,"Schloss Heroldeck, Millstätter See",13.5831,46.799,"Kaiser-Franz-Josef-Straße 124, 9872 Millstatt, Austria",Kärnten,Austria,1667
138,El Adriatico,-78.8196,-33.6413,"Unnamed Road, Juan Fernández, Región de Valparaíso, Chile",Región de Valparaíso,Chile,1668
141,Sea Stars - Deep - سایت ستاره ها - عمیق,56.2818,26.9131,Iran,,Iran,1659
142,Gindang,119.7273,-8.5919,Indonesia,,Indonesia,1671
145,Barges,120.2258,14.775,,,,1672
165,"Liberty Wreck, Cyprus",34.0362,35.0499,"Filippou, Paralimni 5295, Cyprus",Gazimağusa,Cyprus,1674
166,"Nemesis III Wreck, Cyprus",34.0366,35.0499,"Filippou, Paralimni 5295, Cyprus",Gazimağusa,Cyprus,1674
167,"Zenobia Wreck, Cyprus",33.6572,34.8974,,,,305
175,Wondergat Dolomitic Sinkhole,25.89,-25.8693,"Unnamed Road, South Africa",North West,South Africa,1685
176,"Aquarium Pereybere, Mauritius",57.5848,-19.9869,,,,1686
177,"Big Rock, Mauritius",57.3652,-20.27,"Klondike Rd, Flic en Flac, Mauritius",Rivière Noire District,Mauritius,1687
178,Canon,57.3772,-20.2577,"Impasse Cateaux 1, Flic en Flac, Mauritius",Rivière Noire,Mauritius,1687
180,Coin de Mire Wall,57.619,-19.945,,,,1689
181,Lobster Cave,57.7359,-20.4512,,,,1690
184,"DJabeda, Mauritius",57.6199,-19.9457,Mauritius,,Mauritius,1689
186,Holt Rock,57.5416,-20.0038,,,,1693
189,Ile o Coco,57.3478,-20.365,,,,1694
190,Préyebère Anemone Garden,57.5832,-19.9825,,,,1686
191,"KeiSei 113, Wreck",57.3667,-20.2667,"Klondike Rd, Flic en Flac, Mauritius",Rivière Noire District,Mauritius,1687
196,Papaye,57.3785,-20.2542,"Unnamed Road, Mauritius",Rivière Noire District,Mauritius,1687
198,Roche Cato,57.3777,-20.2572,"Impasse Cateaux 1, Flic en Flac, Mauritius",Rivière Noire,Mauritius,1687
199,Roche Zanana,57.3697,-20.269,"Klondike Rd, Flic en Flac, Mauritius",Rivière Noire District,Mauritius,1687
204,"Rempart DuSable , Mauritius",57.3748,-20.2554,"Unnamed Road, Flic en Flac, Mauritius",Rivière Noire District,Mauritius,1687
206,Seafan Valley,57.784,-20.1816,,,,1696
207,Shamanta,57.568,-19.9887,,,,1693
209,"SILVERSTAR, Mauritius",57.5697,-19.9865,"Eden Rock Lane, Grand Baie, Mauritius",Rivière du Rempart District,Mauritius,1693
210,Sweet Lips,57.3769,-20.2546,"Unnamed Road, Flic en Flac, Mauritius",Rivière Noire District,Mauritius,1687
218,Isola Bella South,15.2997,37.85,,Sicilia,Italia,1699
219,Blue Cave Taormina,15.3042,37.8517,,Sicilia,Italia,1699
220,Capo S. Andrea,15.3046,37.8542,,Sicilia,Italia,1699
221,Isola Bella East,15.301,37.8495,Italy,,Italy,1699
