ID,name,longitude,latitude,address,region,country,destination_id
1688,USS Chippewa (Wreck),-85.4822,29.577,Gulf of Mexico,,United States,
1702,"Taea, Tahiti",-149.6069,-17.5366,Polynésie française,Îles du Vent,Polynésie française,
1713,Dotty’s,-156.0497,19.7085,"Kalaoa, HI 96740, USA",Hawaii,United States,
1714,Wakulla Springs,-84.3044,30.2129,"2093 Wakulla Arran Rd, Crawfordville, FL 32327, USA",Florida,United States,
1719,7th Heavens,72.9438,3.5648,"Alifu Dhaalu Atoll, Maldives",North Central Province,Maldives,
1720,Dhangethi Corner,72.9488,3.5742,"Alifu Dhaalu Atoll, Maldives",North Central Province,Maldives,
1721,Dhigurah Beyru,72.9267,3.5255,"Alifu Dhaalu Atoll, Maldives",North Central Province,Maldives,
1722,Dhigurah Thila / Hudu Thila,72.9346,3.5501,"Alifu Dhaalu Atoll, Maldives",North Central Province,Maldives,
1723,Dhidhdoo Corner,72.8692,3.4746,"Alifu Dhaalu Atoll, Maldives",North Central Province,Maldives,
1725,Sun Island Beyru,72.7991,3.4725,"Unnamed Road, Maldives",North Central Province,Maldives,
1726,Fenfushi Beyru,72.7819,3.4831,"Ameenee Magu, Fenfushi, Maldives",North Central Province,Maldives,
1732,Train Hopper Tunnel,-114.7744,36.0452,,NV,United States,
1734,Jardim dos Corais - Alcatrazes,-45.6928,-24.096,Brazil,,Brazil,
1735,Saco do Funil - Alcatrazes,-45.6881,-24.0978,Brazil,,Brazil,
1743,Koon Too many fish,131.2118,-3.9265,Indonesia,Maluku,Indonesia,
1747,Pyramid Poin,-160.0707,21.9068,"Unnamed Road, Kaumakani, HI 96769, USA",Hawaii,United States,
1765,Big Plates,153.1514,-26.6525,"Queensland, Australia",Queensland,Australia,
1782,Elphistone Resort House Reef,34.777,25.2767,,Rotes Meer,Ägypten,
1789,Indian Shores Reef,-82.963,27.8209,Gulf of Mexico,,United States,
1790,Shaabruhr Umm Gamar,33.917,27.3331,Red Sea,,Egypt,
1843,M9,-82.7063,27.1923,Gulf of Mexico,,United States,
1844,Silvertooth Reef,-82.6394,27.2448,Gulf of Mexico,,United States,
1850,"Diversion Lake, Texas",-98.9127,29.5256,"Pvt Rd 2616, Mico, TX 78056, USA",Texas,United States,
1852,Shark Bowl,-64.8894,18.2772,"St Thomas 00802, USVI",St. Thomas,U.S. Virgin Islands,
1858,Kuda Hithi House Reef,73.379,4.4146,"Kaafu Atoll, Maldives",North Central Province,Maldives,
