ID,name,longitude,latitude,address,region,country,destination_id
4,Golubijera,14.1763,45.0804,Golubijera,,Kroatien,
5,9 eylül batığı,26.5545,38.644,,,,
7,Sea Chart 1,98.1422,8.5806,,,,
8,Balito,-15.7011,27.7734,"Calle Anfi del Mar, 11D, 35129 Mogán, Las Palmas, Spain",Canarias,Spain,
10,Koh Matra,99.3585,10.4009,,,,
13,Koh La Wa,99.3123,10.3624,,,,
18,Koh Ranka Chio / เกาะรังกาจิว,99.3018,10.3183,,,,
29,Goliyagala,79.9903,6.1758,,,,
30,Jacobs Table,93.145,12.1084,,,,
31,Barracuda City,93.1495,12.1734,,,,
33,Pit Stop,93.0386,12.175,,,,
34,Stevens Ledge,93.0153,12.1662,,,,
35,Two Fathom Rock,92.9452,12.1701,,,,
36,Nursery,92.9514,12.0814,India,,India,
38,Sea Fan City,93.0287,11.8741,,,,
39,Four Rock,93.0352,11.8469,,,,
40,Theligala,79.9891,6.1635,,,,
41,"Sandy Island Drift, Carriacou",-61.4814,12.4863,"Sandy Island, Grenada",,Grenada,
44,The Farallon Islands,-79.6362,9.6442,"Portobelo District, Panama",Colón Province,Panama,
48,"Sandy Island Garden, Carriacou",-61.4837,12.4857,"Sandy Island, Grenada",,Grenada,
49,"Sandy Island Lighthouse, Carriacou",-61.4797,12.4864,,,Saint Vincent and the Grenadines,
51,Bell Island,-122.9799,48.5962,"Eastsound, WA 98245, USA",Washington,United States,
54,Kiralagala,79.9861,6.1471,,,,
57,Madagala,80.0182,6.1256,,,,
58,Ralagala,80.0271,6.1107,,,,
59,Crissopigi Cross,80.032,6.0911,,,,
60,Rangoon,80.0854,6.0898,,,,
85,Villingili House Reef,73.4829,4.1756,"Rahvehi Higun, Malé, Maldives",Male,Maldives,
87,창원실내수영장,128.6698,35.232,"48-3 Dudae-dong, Uichang-gu, Gyeongsangnam-do, South Korea",Gyeongsangnam-do,South Korea,
89,Travelers Wall,-77.513,25.0727,,,,
91,Grisslinge havsbad,18.4499,59.3123,"Skärgårdsvägen 156-158, 139 36 Värmdö, Sweden",Stockholms län,Sweden,
92,Cayo Frances,-79.1791,22.6347,"Unnamed Road, Cuba",,Cuba,
99,"Liegewiese Insenborn, Sauertalsperre",5.886,49.9063,"14 Insenborn, 9660 Ënsber, Luxembourg",Distrikt Dikrech,Luxembourg,
100,Insenborn Hafen,5.8828,49.9041,"11 Insenborn, 9660 Ënsber, Luxembourg",Distrikt Dikrech,Luxembourg,
111,My Garden,-17.1636,32.8651,"Rue do Forte de S. João Baptista 7A, 9270-095 Porto Moniz, Portugal",Madeira,Portugal,
112,Baixa do Petróleo,-17.1636,32.8678,"Rue do Forte de S. João Baptista 7A, 9270-095 Porto Moniz, Portugal",Madeira,Portugal,
113,Barracuda Reef ,-77.1902,25.0581,,,,
119,Stone House,-159.471,21.8731,"5154 Maulili Rd, Koloa, HI 96756, USA",Hawaii,United States,
82,Sharkies Hideaway Part 2,-61.4933,12.488,,,,
168,Lofos,32.2556,34.431,,,,
169,"White River, Cyprus",32.1873,34.5778,,,,
170,St. George Kakoskali,32.2,35.4487,,,,
171,Blue Lagoon,32.1908,35.4573,,,,
172,Fontana Amoroza,32.1828,35.5467,,,,
137,"Gleanloch Lake, Gleanloch Farms, Texas",-95.5696,30.0364,"139 Manor Lake Estates Dr, Spring, TX 77379, USA",Texas,United States,
139,Bus Stop,-80.0708,19.6888,"N Coast Rd E, Cayman Islands",Sister Islands,Cayman Islands,
140,Pulau Hantu Nudi Garden,103.7536,1.2252,"Unnamed Road, Singapore",,Singapore,
143,Raffles Light House West ,103.7404,1.1605,,,,
146,Vaagali Faru,73.3528,3.9611,,,,
147,Vaagali Outside,73.3516,3.9489,,,,
148,Rannalhi Bodu Faru,73.3512,3.9025,"Unnamed Road, Maldives",,Maldives,
149,Jack Faru,73.3563,3.8943,"Unnamed Road, Maldives",,Maldives,
150,Ihi Reef,73.3546,3.8871,,,,
151,Ram Faru,73.3583,3.8819,"Unnamed Road, Maldives",North Central Province,Maldives,
152,Lhohi Faru Thila,73.3586,3.8741,"Unnamed Road, Maldives",North Central Province,Maldives,
153,Lhohi Kandu Thila,73.3627,3.8594,,,,
154,Lhohi Bodu Kandu,73.366,3.8431,,,,
155,Coral Faru,73.3737,3.822,,,,
156,Origandu Finolhu,73.39,3.8068,,,,
157,Rihivelhi Caves,73.3825,3.8143,,,,
159,GooDiving Pool,-16.603,28.0279,"Av. J.M. Galván Bello, 11, 38639 Oasis del Sur, Santa Cruz de Tenerife, Spagna",,Spagna,
160,El Monasterio,-13.8684,28.3637,,Kanarische Inseln,Spanien,
161,"New Nuevo Horizonte, Fuerteventura",-13.8499,28.4214,,Kanarische Inseln,Spanien,
162,Koludarac Cave,14.4273,44.5444,"Koludarac ul. 8, 51550, Mali Lošinj, Croatia",Primorsko-goranska županija,Croatia,
163,"Katedrala, Premuda Island",14.638,44.3128,"Unnamed Road, 23294, Premuda, Croatia",Zadarska županija,Croatia,
164,Anfi Beach,-15.6966,27.7707,"Calle de Anfi del Mar, Mogán, Las Palmas, Spain",,Spain,
173,Cathedral Reef,32.1576,35.0855,,,,
134,Kurali Kandu,73.3794,2.7586,"Meemu Atoll, Maldives",Central Province,Maldives,
225,"SS Cape Matapan (wreck), Cape Town, South Africa",18.5481,-34.9481,,,,
227,"MV Romelia (Wreck), Cape Town",18.3359,-34.9362,Atlantic Ocean,,,
185,"Hoi Siong, wreck",57.3065,-20.4298,Mauritius,,Mauritius,
187,Ile Plate,57.6436,-19.8759,"Unnamed Road, Mauritius",,Mauritius,
188,"Ile Serpent, Mauritius",57.8049,-19.8227,,,,
192,L’Eveillé,57.3555,-20.2857,"Coastal Rd, Flic en Flac, Mauritius",Rivière Noire District,Mauritius,
193,"L&#039;Orient, wreck",57.3526,-20.2939,Mauritius,,Mauritius,
195,Moe,57.3551,-20.2776,,,,
197,Parc,57.366,-20.2665,"Klondike Rd, Flic en Flac, Mauritius",Rivière Noire District,Mauritius,
200,Rempart L’Herbe,57.3546,-20.2766,,,,
