ID,name,longitude,latitude,address,region,country,destination_id
340,Vall de Núria ,2.1527,42.3948,,Cataluña,España,
568,"L’Espina, Blanes",2.8134,41.6765,"Camí de Ronda, 17300 Blanes, Girona, Spain",Cataluña,Spain,
571,"Can Roviralta, Blanes",2.8333,41.6848,"Passeig Jardins, 2, 17310 Lloret de Mar, Girona, Spain",Catalunya,Spain,
572,"Sa Palomera, Blanes",2.7921,41.6704,"Carrer Sant Andreu de la Palomera, 9, 17300 Blanes, Girona, Spain",Catalunya,Spain,
587,El Tubet,2.7967,41.6634,,Catalunya,Espanya,
589,"Can Ramon, Blanes",2.8231,41.6762,Carrer del Esplanada del Port,Catalunya,Espanya,
1137,Boreas (Wreck),3.1206,41.8349,"Carrer Club Nàutic, 17230 Palamós, Girona, Spain",Catalunya,Spain,
1660,Piscina Acua Cunit,1.6237,41.1943,"Rambla del Prat, 4, 43881 Cunit, Tarragona, Spain",Catalunya,Spain,
1684,Scorpio House Reef,-16.7452,32.7345,"Caminho da Ribeira Natal, 9200 Caniçal, Portugal",Madeira,Portugal,
1685,Muelle Viejo,-17.9488,28.6501,"Av. el Emigrante, 21, Tazacorte, Santa Cruz de Tenerife, España",,España,
1689,Turtle Rocks,-79.3197,25.6752,"Unnamed Road, The Bahamas",Bimini,The Bahamas,
1691,"Cais do Cavaco, Rio Douro",-8.6344,41.145,"Cais do Cavaco 94, 4400-087 Vila Nova de Gaia, Portugal",Porto,Portugal,
1694,Areinho de Oliveira do Douro,-8.5878,41.14,"Av. de Paiva Couceiro 1000, 4300 Porto, Portugal",Porto,Portugal,
1695,Cais Areinho Oliveira do Douro,-8.5887,41.1387,"Tv. Areinho 8, 4430 Oliveira do Douro, Portugal",Porto,Portugal,
1698,Pierre profonde,-4.4536,48.2131,"Unnamed Road, 29160 Crozon, France",Bretagne,France,
2256,Shark Hotel,-63.0536,17.9888,Caribbean Sea,,,
1707,Chuckles,55.4304,-4.5641,,Glacis,Seychelles,
1708,Sunset Rocks,55.4305,-4.5851,"Glacis Victoria Mahe Island, Seychelles",Glacis,Seychelles,
1709,Areinho Arnelas,-8.5223,41.0834,,Porto,Portugal,
1710,Medfish Deep OW - 70m,27.2879,37.1535,Aegean Sea,,Turkey,
1727,Grand Bazar,55.4308,-4.5748,"N Coast Rd, De Quincy, Seychelles",Glacis,Seychelles,
1728,Kormati Sika,14.5802,44.9584,"Općina Krk, Croatia",Primorsko-goranska županija,Croatia,
1736,Pulau Lima Bay,103.0602,5.7758,"21090, Terengganu, Malaysia",Terengganu,Malaysia,
1740,Les Moures,3.8883,43.476,法国,Occitanie,法国,
1746,Jardí de les Morenes,0.8365,40.9122,,Catalunya,Espanya,
1748,Punta Lobos,-110.3041,24.4526,Mexico,,Mexico,
1758,The Zoo,-59.6518,13.2799,"Sherman Hall Moon Fort, Clinketts, Barbados",,Barbados,
1766,La Calzada Romana,1.6812,41.1927,España,Catalunya,España,
1770,Gruta do Pombo,-16.7048,32.7395,"ER109, 9200, Portugal",Madeira,Portugal,
1771,M6,-82.7572,27.2218,Gulf of Mexico,,United States,
1773,Batelão Maria Grécia,-9.1167,38.4338,EM585,Setubal,Portugal,
1777,T-Wreck,119.4868,8.4859,Philippines,,Philippines,
1778,South Park,119.5593,8.5082,Philippines,,Philippines,
1783,Six Men’s,-59.6436,13.2645,"Hwy 1B, Retreat, Barbados",Saint Peter,Barbados,
1784,Port St. Charles #2,-59.6461,13.2622,"Unnamed Road, Barbados",,Barbados,
1785,Spawnee,-59.6505,13.235,"Hwy 1B, Mullins, Barbados",Saint Peter,Barbados,
1787,Playa Bastian ,-13.4954,28.9927,"Av. los Cocederos, 1, 35508 Costa Teguise, Las Palmas, Spain",Canarias,Spain,
1794,Sharks Hole,-59.6299,13.3418,,,,
1795,Secca del Pilone,9.1967,41.321,Tyrrhenian Sea,,France,
1807,Port St. Charles #1,-59.6465,13.2639,"Unnamed Road, Barbados",,Barbados,
1808,Port St. Charles #3,-59.6465,13.2605,"Hwy 1B, Speightstown, Barbados",Saint Peter,Barbados,
1809,"Pamir, wreck",-59.6468,13.2576,,Barbados,Barbados,
1822,Tubarões ,-8.6737,41.1435,Portugal,,Portugal,
1823,Polje Steilwand,14.8661,44.1286,"Unnamed Road, 23287, Veli Rat, Croatia",Zadarska županija,Croatia,
1824,Golac,14.8451,44.1866,"23287, Sali, Croatia, Croatia",Zadar County,Croatia,
1825,Lord Combermere,-59.6401,13.1352,"Batts Rock, Prospect, Barbados",Saint Michael,Barbados,
1826,"SS Stavronikita, wreck",-59.643,13.1445,"Highway 1, Fitts Village, Barbados",Saint James,Barbados,
1828,Carlisle Bay Marine Park,-59.6121,13.0858,,Barbados,Barbados,
1829,Asta Reef,-59.6025,13.0726,"Highway 7, Bridgetown, Barbados",Christ Church,Barbados,
1833,Test SSI Usa,-157.9221,21.1002,United States,,United States,
1835,Pedra do Ferro,-8.3046,37.0501,Portugal,,Portugal,
1840,Bird Cay,-77.8159,25.3864,"Unnamed Road, The Bahamas",,The Bahamas,
1841,Muellecico ,-1.1415,37.5393,,Murcia,España,
1842,Punta de las Animas,-1.1471,37.5411,,Murcia,España,
1848,Oasis (Tres Grutas West),-22.9184,16.5847,"Unnamed Road, Santa Maria, Cape Verde",Sal,Cape Verde,
1851,isla de oro,-69.9615,12.4569,"Unnamed Road, Savaneta, Aruba",,Aruba,
1857,Hoovers,-155.9419,19.9726,United States,,United States,
1863,Rasfannu Artificial Beach,73.5015,4.1751,"Majeedhee Magu Bus Station, Majeedhee Magu Rd, Malé, Maldives",Male,Maldives,
1864,Faru Corner,73.5509,4.2421,"Unnamed Road, Maldives",,Maldives,
2365,"La Diéppoise, wreck",166.4419,-22.4811,,,,
1878,Caic,-16.2832,33.0532,,Madère,Portugal,
1896,Brightledge,-59.653,13.2638,"Hwy 1B, Colleton, Barbados",,Barbados,
1902,Pontão Santa Maria,-22.9077,16.5968,"Unnamed Road, Santa Maria, Cape Verde",Sal,Cape Verde,
1908,Pitkäjärvi,23.9485,61.4694,"Kisapirtintie 34, 36240 Kangasala, Suomi",,Suomi,
1914,"9 Eylül Batık, wreck",26.5276,38.6518,Türkiye,İzmir,Türkiye,
1915,Pedra do Ginja,-16.2849,33.0514,,Madère,Portugal,
1917,SS Albanien (Wreck),14.8506,44.5288,,,,
1920,小香蘭,121.9727,25.0253,"No. 3之1號, Xianglan Street, Gongliao District, New Taipei City, Taiwan 228",New Taipei City,Taiwan,
1924,Liefrange Hafen,5.8777,49.9043,"Base nautique, Lac de la Haute-Sûre, Luxemburg",Diekirch,Luxemburg,
1929,Isola Spargiotto,9.3212,41.2486,isola spargiotto,,,
1933,Flusstauchen Traun,13.7985,47.9286,Traunpromenade,Oberösterreich,Österreich,
1940,Captain Don’s Reef,-68.3198,12.1498,Caribbean Netherlands,,Caribbean Netherlands,
1946,"Sirena Bay, Hvar",16.4201,43.1779,"Oresta Žunkovića 1, 21450, Hvar, Croatia",Splitsko-dalmatinska županija,Croatia,
1947,The Keyhole,-117.2943,32.4348,"North Coronado, Baja California, Mexico, Mexico",,Mexico,
1957,Auberge Reef,55.4314,-4.5961,"N Coast Rd, De Quincy, Seychelles",Glacis,Seychelles,
1966,Chibishi,127.5644,26.2631,Japan,,Japan,
1968,Cessna Wreck,-77.535,24.988,"S W Rd, The Bahamas",New Providence,The Bahamas,
1970,Wall Street,119.8796,8.8455,"Cagayancillo, Palawan, Philippines",MIMAROPA,Philippines,
1971,Amos Rock ,119.9086,8.8263,"Cagayancillo, Palawan, Philippines",MIMAROPA,Philippines,
1974,Chin Woo Stadium,101.6989,3.141,Lorong Hang Jebat,KL,Malaysia,
1979,"Крым, г. Судак, Капсель ""Капсель""
",35.0412,44.8204,,,,
1984,Cemitério dos Navios,-9.5415,39.4802,Atlantic Ocean,,,
1986,Tankowiec,18.6722,54.7808,Baltic Sea,,Poland,
1987,Holownik Strazak,18.6485,54.7995,Baltic Sea,,Poland,
2004,Perriwinkle Reef,-76.5,24.25,"Unnamed Road, The Bahamas",Black Point,The Bahamas,
2009,Shimamawari,135.6514,33.4963,,,日本,
2010,Antonio Gaudi,125.1324,24.8194,"Unnamed Road, Sawada Irabu, Miyakojima, Okinawa 906-0507, Japan",Okinawa,Japan,
2011,Devil’s Palace,125.1356,24.8394,"Unnamed Road, Sawada Irabu, 906-0507, Japan",,Japan,
2012,Kameyama East,127.5724,26.2544,,,日本,
2015,"Alte Steinbrücke, Insenborn",5.8847,49.9062,"14 Insenborn, 9660 Ënsber, Luxembourg",Distrikt Dikrech,Luxembourg,
2016,Ruinen Lultzhausen,5.8872,49.9081,"1 Lultzhausen, 9666 Lëlz, Luxembourg",Distrikt Dikrech,Luxembourg,
2017,Barco das Telhas (Wreck),-9.0965,38.4299,"R. Navegador Rodrigues Soromenho 16, 2970 Sesimbra, Portugal",Setúbal,Portugal,
2018,Edge of Night,-80.9244,24.6728,United States,,United States,
2021,Cañon de Juarez,-96.0629,19.2294,Golfo de México,Veracruz,,
2027,Reefs End,-156.6734,20.7108,United States,,United States,
2075,Victor’s Reef,-59.6363,13.1276,,Barbados,Barbados,
2140,HMS Proselyte,-63.0592,17.9897,,,,
2144,The Bridge,-63.1111,18.0245,Sint Maarten,Sint Maarten,Sint Maarten,
2145,Pecio Papanoa,-101.0795,17.2689,Mexico,,Mexico,
2159,El Faro,-15.6998,28.1531,"Av. Alcalde Antonio Rosas, 94, 35469 Gáldar, Las Palmas, Spain",Canarias,Spain,
2160,The Garden of Gorgonians,-15.7005,28.1523,"Av. Alcalde Antonio Rosas, 94, 35469 Gáldar, Las Palmas, Spain",Canarias,Spain,
2162,La Cuevita,-15.6983,28.1519,"Carr. Sardina, 84, 35469 Gáldar, Las Palmas, España",Canarias,España,
2165,Haunted House,-81.2947,19.3805,,Cayman Islands,Cayman Islands,
2167,Boom West,-81.1373,24.6357,United States,,United States,
2170,Neptun Hausriff,14.6692,45.1524,"Lokvišća ul. 35, 51515, Šilo, Kroatien",Primorsko-goranska županija,Kroatien,
2177,Yellow Tail,-80.7526,24.7565,United States,,United States,
2179,海建號沉船,121.8151,25.1378,"No. 106, Section 2, Jianji Road, Ruifang District, New Taipei City, Taiwan 224",New Taipei City,Taiwan,
2182,Coconut Wall,-80.0898,19.6808,"N Coast Rd W, Cayman Islands",,Cayman Islands,
2183,l’Eldon,-4.9328,48.4013,,Bretagne,France,
2186,El Marco,-13.8264,28.7111,,,,
2188,Carib Cargo (Wreck),-63.0704,17.9939,Caribbean Sea,,,
2190,Teigland/ Cable Reef,-63.06,17.9866,"73 Walter A. Nisbeth Rd, Philipsburg, Sint Maarten",Sint Maarten,Sint Maarten,
2191,Puerto de Mogán West,-15.7684,27.8175,"Calle Explanada del Castillete, 12, 35139 Lomo Quiebre, Las Palmas, Spain",Canarias,Spain,
